time,tau_h,r_react,theta_m,theta_act,V_cmd,Kp,Kr,Kd
1.7850000000000001,-3.0,0.41898020793887025,0.45910996999022236,0.4278296248300276,-0.002931084345984311,6.7034623410448075,6.680857831749031,0.4842047153332486
1.79,-3.0,0.4186089870879903,0.45787183256032166,0.42716824474480336,-0.0027439530109141796,6.700061426382856,6.677570121488229,0.4839778430317266
1.795,-3.0,0.418249440089984,0.4566584528922352,0.42652518074064905,-0.002563886724001152,6.696663198422099,6.674282938727889,0.4837503873271968
1.8,-3.0,0.417901270889806,0.45546951823595133,0.4259000348567677,-0.0023906840172113336,6.693267640657881,6.670996302252335,0.48352237606415044
1.805,-3.0,0.41756418913292503,0.4543047137225383,0.42529241468024664,-0.0022241476004752417,6.689874736672371,6.667710230691999,0.48329383621981736
1.81,-3.0,0.4172379101125818,0.4531637226514416,0.42470193337540263,-0.002064084316175198,6.686484470140536,6.6644247425155845,0.4830647939175599
1.815,-3.0,0.4169221547151657,0.45204622676761397,0.42412820970784687,-0.0019103050941535193,6.683096824835738,6.661139856022841,0.4828352744409549
1.82,-3.0,0.41661664936384823,0.45095190652865963,0.4235708680634874,-0.0017626249070345143,6.679711784634954,6.65785558933795,0.4826053022484863
1.825,-3.0,0.41632112596060555,0.4498804413621806,0.42302953846267727,-0.0016208627256879826,6.6763293335236575,6.654571960403459,0.48237490098877306
1.83,-3.0,0.4160353218267565,0.4488315099135109,0.4225038565697111,-0.0014848414746892538,6.672949455600375,6.651288986974768,0.482144093516264
1.835,-3.0,0.41575897964213854,0.44780479028402975,0.4219934636978661,-0.0013543879876261183,6.669572135080918,6.648006686615114,0.4819129019073327
1.84,-3.0,0.41549184738303774,0.44679996026024427,0.42149800681017674,-0.001229332962173986,6.666197356302324,6.644725076691041,0.48168134747671065
1.845,-3.0,0.41523367825898555,0.4458166975338342,0.42101713851612754,-0.0011095109148206994,6.66282510372652,6.641444174368327,0.4814494507942008
1.85,-3.0,0.4149842306485288,0.4448546799128518,0.420550517064442,-0.0009947601351878999,6.659455361943708,6.638163996608334,0.48121723170161645
1.855,-3.0,0.4147432680340761,0.44391358552427074,0.4200978063321411,-0.0008849226398837673,6.656088115675506,6.63488456016478,0.48098470932989446
1.86,-3.0,0.4145105589359187,0.4429930930080769,0.4196586758100386,-0.0007798441258456065,6.652723349777835,6.631605881580878,0.48075190211633484
1.865,-3.0,0.4142858768455205,0.442092881703096,0.41923280058483725,-0.0006793739231445023,6.649361049243588,6.628327977186854,0.48051882782192246
1.87,-3.0,0.4140690001581657,0.44121263182475096,0.4188198613179843,-0.0005833649472340718,6.646001199205073,6.625050863097795,0.4802855035486884
1.875,-3.0,0.4138597121050522,0.4403520246349411,0.41841954422143945,-0.000491673650639006,6.642643784936252,6.621774555211829,0.4800519457570734
1.8800000000000001,-3.0,0.41365780068491026,0.43951074260423717,0.41803154103050566,-0.0004041599740805188,6.639288791854781,6.618499069208601,0.47981817028325685
1.885,-3.0,0.41346305859522753,0.43868846956658114,0.41765554897386853,-0.00032068729705559545,6.635936205523866,6.615224420548042,0.4795841923564183
1.8900000000000001,-3.0,0.41327528316315276,0.43788489086668214,0.4172912707409847,-0.0002411223878849844,6.632586011653936,6.611950624469398,0.47935002661590115
1.895,-3.0,0.4130942762761512,0.4370996935002967,0.4169384144469575,-0.00016533535325709975,6.629238196104153,6.608677695990519,0.4791156871282504
1.9000000000000001,-3.0,0.4129198443124788,0.43633256624758027,0.416596693595033,-9.319958729530481e-05,6.625892744883755,6.60540564990738,0.4788811874040985
1.905,-3.0,0.41275179807154005,0.43558319979969534,0.416265827036846,-2.4591720185693222e-05,6.622549644153254,6.6021345007938255,0.4786465404148759
